央视频道,#genre#
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
三沙卫视,http://qnap.yjnhome.com:4000/udp/239.3.1.155:4120
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
纪实科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
农林卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8#http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8


地方频道,#genre#
湖北经视,http://gd.ikhs.cn:8880/udp/239.69.1.41:9886
湖北综合,http://gd.ikhs.cn:8880/udp/239.69.1.42:9892
湖北公共新闻,http://gd.ikhs.cn:8880/udp/239.69.1.40:9880
湖北垄上,http://gd.ikhs.cn:8880/udp/239.69.1.43:9898
湖北影视,http://gd.ikhs.cn:8880/udp/239.69.1.204:10866
湖北教育,http://gd.ikhs.cn:8880/udp/239.69.1.206:10878
湖北生活,http://gd.ikhs.cn:8880/udp/239.69.1.205:10872
武汉新闻综合,http://gd.ikhs.cn:8880/udp/239.69.1.145:10506
武汉电视剧,http://gd.ikhs.cn:8880/udp/239.69.1.146:10512
武汉科技生活,http://gd.ikhs.cn:8880/udp/239.69.1.251:11148
武汉经济,http://gd.ikhs.cn:8880/udp/239.69.1.35:9850
武汉文体,http://gd.ikhs.cn:8880/udp/239.69.1.147:10518
武汉外语,http://gd.ikhs.cn:8880/udp/239.69.1.36:9856
武汉教育,http://gd.ikhs.cn:8880/udp/239.69.1.60:9994
茶频道,http://111.48.34.237/PLTV/88888888/224/3221229873/1.m3u8
快乐垂钓,http://61.136.96.78:880/88.m3u8
金鹰纪实,http://php.jdshipin.com:8880/bst.php?id=jyjs
湖南爱晚,http://222.241.154.37:9901/tsfile/live/23022_1.m3u8
湖南电视剧,http://222.241.154.37:9901/tsfile/live/23026_1.m3u8
湖南电影,http://222.241.154.37:9901/tsfile/live/23025_1.m3u8
湖南都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南国际,http://222.241.154.37:9901/tsfile/live/23024_1.m3u8
湖南经视,http://222.241.154.37:9901/tsfile/live/23020_1.m3u8
湖南娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8
湖南教育,http://222.241.154.37:9901/tsfile/live/23027_1.m3u8
北京新闻,http://123.112.210.212:4022/rtp/239.3.1.159:8000#http://115.171.216.46:4000/udp/225.1.8.83:8000
北京影视,http://123.112.210.212:4022/rtp/239.3.1.158:8000#http://115.171.216.46:4000/udp/225.1.8.82:8000
北京文艺,http://123.112.210.212:4022/rtp/239.3.1.242:8000#http://115.171.216.46:4000/udp/225.1.8.22:8002
北京生活,http://123.112.210.212:4022/rtp/239.3.1.117:8000#http://115.171.216.46:4000/udp/225.1.8.108:8002
北京财经,http://qnap.yjnhome.com:4000/udp/239.3.1.116:8000
汽摩,http://111.48.34.237/PLTV/88888888/224/3221230076/1.m3u8
武术世界,http://111.48.34.237/PLTV/88888888/224/3221230549/1.m3u8
文物宝库,http://111.48.34.237/PLTV/88888888/224/3221230547/1.m3u8
梨园,http://111.48.34.237/PLTV/88888888/224/3221230496/1.m3u8


数位频道,#genre#
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
哒啵赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
哒啵电竞,http://111.48.34.237/PLTV/88888888/224/3221230452/1.m3u8
CHC动作电影,http://111.48.34.237/PLTV/88888888/224/3221230434/1.m3u8
CHC家庭影院,http://111.48.34.237/PLTV/88888888/224/3221230481/1.m3u8
CHC高清电影,http://111.48.34.237/PLTV/88888888/224/3221230483/1.m3u8
求索纪录,http://39.135.133.177/PLTV/88888888/224/3221225713/index.m3u8
求索生活,http://39.135.133.157/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.135.133.156/PLTV/88888888/224/3221225728/index.m3u8
求索动物,http://39.135.133.134/PLTV/88888888/224/3221225730/index.m3u8
欢笑剧场,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=hxjc
都市剧场,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=dsjc
动漫秀场,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=dmxc
法治天地,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=fztd
金色学堂,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=jsxt
魅力足球,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=mlzq
生活时尚,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=shss
东方财经,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=dfcj
游戏风云,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=yxfy
劲爆体育,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=jbty
快乐垂钓,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=klcd
七彩戏剧,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=qcxj
第一财经,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=dycj
上视新闻,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=shxwzh
上海都市,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=shds
上海纪实,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=jsrw
五星体育,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=wxty
上视外语,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=ics
上海教育,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=shjy
中国天气,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=zgtq
财富天下,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=cftx
卡酷少儿,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=kkse
纪实科教,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=bjjskj
茶频道,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=cpd
戏曲精选,http://mywlkj.ddns.net:754/tv/dl/dl668/bestv.php?id=xqjx
